Result,target0,target1,target2,target3,target4,target5,target6,target7,target8,target9,
actual0,193,0,1,1,1,2,2,0,0,1,0.960199005
actual1,0,218,0,1,0,0,0,0,2,0,0.986425339
actual2,0,0,175,0,0,1,1,4,2,2,0.945945946
actual3,0,3,5,187,0,2,0,1,2,3,0.921182266
actual4,0,0,3,0,218,0,2,3,1,5,0.939655172
actual5,0,1,0,3,0,148,1,0,2,1,0.948717949
actual6,2,0,1,2,2,3,207,0,2,0,0.945205479
actual7,0,1,1,1,0,0,0,190,1,1,0.974358974
actual8,1,1,2,0,1,4,3,0,166,2,0.922222222
actual9,1,1,2,4,4,2,0,4,1,190,0.909090909
,0.979695431,0.968888889,0.921052632,0.939698492,0.96460177,0.913580247,0.958333333,0.940594059,0.927374302,0.926829268,0.945527236
