Result,target0,target1,target2,target3,target4,target5,target6,target7,target8,target9,
actual0,193,0,1,1,2,4,1,0,0,1,0.950738916
actual1,0,217,0,0,0,1,0,0,3,0,0.981900452
actual2,0,0,175,2,2,4,1,3,1,1,0.925925926
actual3,0,2,3,183,0,2,0,0,3,3,0.933673469
actual4,0,0,1,0,216,0,3,2,3,7,0.931034483
actual5,2,0,2,8,0,142,0,0,2,2,0.898734177
actual6,2,1,1,1,1,2,210,0,3,0,0.950226244
actual7,0,1,0,3,1,0,0,194,0,2,0.965174129
actual8,0,3,4,1,1,5,1,1,163,1,0.905555556
actual9,0,1,3,0,3,2,0,2,1,188,0.94
,0.979695431,0.964444444,0.921052632,0.91959799,0.955752212,0.87654321,0.972222222,0.96039604,0.910614525,0.917073171,0.940029985
