Result,target0,target1,target2,target3,target4,target5,target6,target7,target8,target9,
actual0,197,0,0,0,0,0,0,0,0,0,1
actual1,0,222,0,0,0,0,0,0,1,0,0.995515695
actual2,0,0,185,0,0,0,0,1,0,1,0.989304813
actual3,0,0,2,195,0,0,0,0,1,0,0.984848485
actual4,0,0,0,0,224,0,1,0,0,3,0.98245614
actual5,0,0,1,1,1,160,0,0,1,2,0.963855422
actual6,0,0,1,0,0,0,215,0,0,0,0.99537037
actual7,0,0,0,1,0,0,0,201,0,0,0.995049505
actual8,0,2,0,0,1,2,0,0,175,2,0.961538462
actual9,0,1,1,2,0,0,0,0,1,197,0.975247525
,1,0.986666667,0.973684211,0.979899497,0.991150442,0.987654321,0.99537037,0.995049505,0.977653631,0.96097561,0.985007496
