Result,target0,target1,target2,target3,target4,target5,target6,target7,target8,target9,
actual0,196,0,2,2,0,1,0,0,1,0,0.97029703
actual1,0,220,0,0,0,1,0,1,2,0,0.982142857
actual2,0,0,179,1,0,0,0,4,0,1,0.967567568
actual3,0,0,2,192,0,3,0,0,2,1,0.96
actual4,0,1,0,0,220,0,0,1,1,4,0.969162996
actual5,0,1,2,2,0,152,0,0,1,0,0.962025316
actual6,0,0,0,0,2,1,216,0,2,0,0.977375566
actual7,0,1,1,1,0,0,0,193,0,2,0.974747475
actual8,1,2,1,0,1,4,0,0,170,0,0.94972067
actual9,0,0,3,1,3,0,0,3,0,197,0.951690821
,0.994923858,0.977777778,0.942105263,0.964824121,0.973451327,0.938271605,1,0.955445545,0.94972067,0.96097561,0.967016492
