Result,target0,target1,target2,target3,target4,target5,target6,target7,target8,target9,
actual0,192,0,2,1,2,1,1,0,0,1,0.96
actual1,0,217,0,2,0,0,0,3,3,0,0.964444444
actual2,0,0,178,3,0,0,1,3,2,1,0.946808511
actual3,0,2,3,181,0,3,0,1,4,2,0.923469388
actual4,0,0,1,0,217,0,2,2,3,8,0.931330472
actual5,1,1,0,4,0,148,2,1,4,3,0.902439024
actual6,2,1,1,2,2,3,208,0,2,0,0.941176471
actual7,0,0,0,3,1,2,0,188,0,5,0.944723618
actual8,2,3,1,1,2,3,1,0,160,2,0.914285714
actual9,0,1,4,2,2,2,1,4,1,183,0.915
,0.974619289,0.964444444,0.936842105,0.909547739,0.960176991,0.913580247,0.962962963,0.930693069,0.893854749,0.892682927,0.935532234
