Result,target0,target1,target2,target3,target4,target5,target6,target7,target8,target9,
actual0,189,0,2,1,1,3,3,0,1,1,0.940298507
actual1,0,216,2,0,0,3,0,0,1,0,0.972972973
actual2,1,0,169,5,1,1,1,4,1,3,0.908602151
actual3,0,1,3,174,0,3,1,1,4,2,0.920634921
actual4,0,2,2,0,210,1,3,2,2,5,0.925110132
actual5,2,1,0,7,3,143,2,1,1,1,0.888198758
actual6,3,1,3,1,4,1,204,1,1,0,0.931506849
actual7,0,0,1,5,0,0,0,191,1,4,0.945544554
actual8,2,3,3,2,2,6,2,0,166,3,0.878306878
actual9,0,1,5,4,5,1,0,2,1,186,0.907317073
,0.959390863,0.96,0.889473684,0.874371859,0.92920354,0.882716049,0.944444444,0.945544554,0.927374302,0.907317073,0.923538231
